Num_etab;Type_e;Appellation officielle;Label;Items;Année;Date de 1ère labellisation;Renouvellement 1;Renouvellement 2;Renouvellement 3;Renouvellement 4;Secteur;Commune;Latitude;Longitude;Nature uai;Département;Type de contrat;Téléphone;Chef d'établissement;territoire
0250003T;collège;Collège Jean Bauhin;Niveau 2;17;2024;2024 - Niveau 2;;;;;Public;Audincourt;47.47951278049735;6.849090225779805;COLLEGE;Doubs;SANS OBJET;381355870;MILLOT Fanny;
0250136M;école;Ecole élémentaire Premiers Castors;Niveau 2;12;2023;2023 - Niveau 2;;;;;Public;Audincourt;47.47696608998802;6.846439745960947;ECOLE DE NIVEAU ELEMENTAIRE;Doubs;SANS OBJET;;;
0250001R;lycée professionnel;Lycée professionnel Nelson Mandela - Lycée des métiers et de l'ouverture internationale;Niveau 3;20;2024;2020 - Niveau 2;2024  -  Niveau 3;2029;;;Public;Audincourt;47.48440477835469;6.851839399677355;LYCEE PROFESSIONNEL;Doubs;SANS OBJET;381307800;SEMONT Gérald;
0250146Y;école;Ecole primaire;Niveau 1;13;2022;2022 - Niveau 1;;;;;Public;Autechaux;47.377121629029084;6.383520596002425;ECOLE DE NIVEAU ELEMENTAIRE;Doubs;SANS OBJET;;;
0250005V;collège;Collège René Cassin;Niveau 3;21;2024;2019 - Niveau 3;2024  -  Niveau 3;;;;Public;Baume-les-Dames;47.35076846920827;6.352530612760996;COLLEGE;Doubs;SANS OBJET;381841588;DEGRANDCOURT Ludovic;
0250063H;lycée professionnel;Lycée professionnel Jouffroy d'Abbans;Niveau 3;22;2023;2022 - Niveau 1;2023  -  Niveau 3;2028;;;Public;Baume-les-Dames;47.34956760159781;6.350400573622814;LYCEE PROFESSIONNEL;Doubs;SANS OBJET;381840277;DUPRAT Sophie;
0251718G;école;Ecole élémentaire Claire Radreau;Niveau 2;16;2025;2020 - Niveau 2;2025  -  Niveau 2;2030;;;Public;Bavans;47.485649642861226;6.732609460361828;ECOLE DE NIVEAU ELEMENTAIRE;Doubs;SANS OBJET;;;
0251343Z;école;Ecole maternelle Françoise Dolto;Niveau 2;17;2025;2020 - Niveau 1;2025  -  Niveau 2;2030;;;Public;Bavans;47.480876929025946;6.73264064994941;ECOLE MATERNELLE;Doubs;SANS OBJET;;;
0251587P;collège;Collège privé Saint Joseph;Niveau 3;24;2023;2013 - Niveau 2;2018  -  Niveau 3;2028;;;Privé;Besançon;47.245620688398866;6.033739426836159;COLLEGE;Doubs;CONTRAT D'ASSOCIATION TOUTES CLASSES;381530826;M. CHABOD Frédéric;territoire2
0251589S;collège;Institution Notre-Dame Saint-Jean - Collège;Niveau 3;22;2022;2012 - Niveau 2;2017  -  Niveau 3;2027;;;Privé;Besançon;47.25130380350514;6.005099336173178;COLLEGE;Doubs;CONTRAT D'ASSOCIATION TOUTES CLASSES;381474220;M. PECHINOT Fabrice;
0251347D;école;Ecole primaire privée Sainte Colette;Niveau 3;24;2025;2019 - Niveau 1;2024  -  Niveau 2;2025  - Niveau 3;2030;;Privé;Besançon;47.245900415664494;6.030830026699622;ECOLE DE NIVEAU ELEMENTAIRE;Doubs;CONTRAT D'ASSOCIATION TOUTES CLASSES;;;territoire2
0251143G;école;Ecole primaire privée Saint-Jean;Niveau 3;23;2023;2017 - Niveau 3;2022  -  Perte;2023  - Niveau 3;2028;;Privé;Besançon;47.25936930621812;6.0182901784898;ECOLE DE NIVEAU ELEMENTAIRE;Doubs;CONTRAT D'ASSOCIATION TOUTES CLASSES;;;
0251173P;école;Ecole primaire privée Notre-Dame;Niveau 3;24;2023;2017 - Niveau 2;2022  -  Perte;2023  - Niveau 3;2028;;Privé;Besançon;47.25079796723765;6.0044902003605065;ECOLE DE NIVEAU ELEMENTAIRE;Doubs;CONTRAT D'ASSOCIATION TOUTES CLASSES;;;
